product_name,retail_price,discounted_price,product_rating,overall_rating,category
Babeezworld Dungaree Baby Boy's  Combo,999.0,499.0,,,Baby Care
Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1600.0,1200.0,,,Home Decor & Festive Needs
"Proence Weight Gainers, Mass Gainers",,,,,Food & Nutrition
Discountgod Men's Checkered Casual Shirt,750.0,590.0,,,Clothing
Silver Streak Men's Printed Casual Denim Shirt,1299.0,599.0,,,Clothing
"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",18995.0,15195.0,,,Watches
TEN TEN Women's Black Knee Length Boots Boots,4995.0,1995.0,,,Footwear
,,,,,Others
,,,,,Others
,,,,,Others
"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",13699.0,13099.0,,,Watches
Carlton Boots,3495.0,1223.0,,,Footwear
Maserati Time R8851116001 Analog Watch  - For Boys,24400.0,24400.0,,,Watches
"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",1095.0,595.0,,,Watches
,,,,,Others
Digital display,,,,,Others
Digital display,,,,,Others
"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1099.0,449.0,,,Watches
Reckler Slim Fit Men's Jeans,5398.0,2599.0,,,Clothing
Quechua Arpenaz Novadry Boots,2499.0,2250.0,,,Footwear
"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",3999.0,849.0,,,Watches
Steppings Trendy Boots,1799.0,719.0,,,Footwear
Rochees RW38 Analog Watch  - For Boys,1415.0,1202.0,,,Watches
"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1099.0,399.0,,,Watches
,,,,,Others
,,,,,Others
5,,,,,Others
Catwalk Boots,2095.0,999.0,,,Footwear
Magnum Footwear Lifestyle,3999.0,2099.0,,,Footwear
T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,999.0,399.0,,,Watches
,,,,,Others
 suave leather belts and intricately designed and finished timepieces are what separate you from the rest.,,,,,Others
" suave leather belts and intricately designed and finished timepieces are what separate you from the rest.""",,,,,Others
Rialto Boots,3295.0,2795.0,,,Footwear
Kielz Ladies Boots,2499.0,1249.0,,,Footwear
"Alfajr WY16B Youth Digital Watch  - For Men, Boys",5495.0,4995.0,,,Watches
La Briza Ashley Boots,2299.0,2299.0,,,Footwear
"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",107750.0,107750.0,,,Watches
Salt N Pepper 13-019 Femme Black Boots Boots,4195.0,3146.0,,,Footwear
,,,,,Others
,,,,,Others
No rating available,,,,,Others
Shuz Touch Boots,1499.0,1270.0,,,Footwear
Wrangler Skanders Fit Men's Jeans,2795.0,1817.0,,,Clothing
Steppings Trendy Boots,3199.0,1919.0,,,Footwear
,,,,,Others
,,,,,Others
No rating available,,,,,Others
Salt N Pepper 14-664 Denny Black Boots Boots,4295.0,3221.0,,,Footwear
,,,,,Others
,,,,,Others
No rating available,,,,,Others
"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1199.0,429.0,,,Watches
Crocs Boots,3995.0,3995.0,,,Footwear
"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571230.0,571230.0,,,Watches
,,,,,Others
,,,,,Others
,,,,,Others
,,,,,Others
,,,,,Others
,,,,,Others
,,,,,Others
,,,,,Others
,,,,,Others
,,,,,Others
,,,,,Others
,,,,,Others
No rating available,,,,,Others
Lyc White Casual Boots,1199.0,899.0,,,Footwear
Myra Comfortable Boots,1049.0,499.0,,,Footwear
"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",2000.0,699.0,,,Watches
,,,,,Others
,,,,,Others
No rating available,,,,,Others
Get Glamr Designer Uggy Boots,3499.0,2799.0,,,Footwear
Kielz Ladies Boots,2299.0,899.0,,,Footwear
Kielz Ladies Boots,1999.0,999.0,,,Footwear
Rochees RW50 Analog Watch  - For Boys,1120.0,952.0,,,Watches
Kielz Ladies Boots,2799.0,1299.0,,,Footwear
Salt N Pepper 13-516 Greta Red Boots,3495.0,2621.0,,,Footwear
Fluid DMF-002-GR01 Digital Watch  - For Boys,1699.0,849.0,,,Watches
Steppings Trendy Boots,1599.0,639.0,,,Footwear
,,,,,Others
,,,,,Others
No rating available,,,,,Others
Rialto Boots,3295.0,2395.0,,,Footwear
"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1099.0,399.0,,,Watches
,,,,,Others
,,,,,Others
No rating available,,,,,Others
Wrangler Regular Fit Men's Jeans,3295.0,1812.0,,,Clothing
,,,,,Others
 a waistband with belt loops,,,,,Others
 a waistband with belt loops,,,,,Others
Steppings Trendy Boots,3499.0,2274.0,,,Footwear
"Disney DW100230 Digital Watch  - For Boys, Girls",350.0,350.0,,,Watches
Salt N Pepper 13-167 Marsha Red Boots,3695.0,2771.0,,,Footwear
"Cartier W6701005 Analog Watch  - For Boys, Men",201000.0,201000.0,,,Watches
Bruno Manetti Cannelita Boots,3399.0,1359.0,,,Footwear
Stylistry Maxis Shde6603brwoboot3104 Boots,2199.0,1599.0,,,Footwear
"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1200.0,399.0,,,Watches
"Felix Y 39 Analog Watch  - For Boys, Men",1550.0,525.0,,,Watches
Kielz Boots,2999.0,2399.0,,,Footwear
Kielz Ladies Boots,2299.0,899.0,,,Footwear
Sakay Country Leather Boots,3999.0,3499.0,,,Footwear
La Briza Black Boots,2299.0,2069.0,,,Footwear
,,,,,Others
,,,,,Others
,,,,,{{Occasion
"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",375.0,263.0,,5.0,Watches
"Franck Bella FB0128B Analog Watch  - For Men, Boys",1199.0,959.0,,,Watches
Steppings Trendy Boots,2199.0,1099.0,,,Footwear
"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",475.0,333.0,4.0,4.0,Watches
"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",1095.0,595.0,,,Watches
,,,,,Others
Digital display,,,,,Others
Digital display,,,,,Others
Vencer Stella 7lyt1011 Digital Watch  - For Boys,399.0,144.0,,,Watches
La Briza Mile Boots,3999.0,3999.0,,,Footwear
,,,,,Others
,,,,,Others
,,,,,{{Occasion
"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",3999.0,899.0,,,Watches
Sneha Unique Boots,1799.0,899.0,,,Footwear
Timer TC_-_690143 Analog Watch  - For Boys,1299.0,549.0,,,Watches
NE Regular Fit Men's Jeans,4999.0,1899.0,,,Clothing
Shuz Touch Boots,2995.0,2995.0,,,Footwear
Kielz Ladies Boots,2499.0,1149.0,,,Footwear
"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",4999.0,1049.0,,,Watches
Kielz Ladies Boots,2299.0,899.0,,,Footwear
Belle Gambe Boots,3999.0,1695.0,,,Footwear
"Titan 1639SL03 Analog Watch  - For Boys, Men",1795.0,1695.0,,,Watches
Selfie Boots,1200.0,599.0,,,Footwear
,,,,,Others
 its rich construction makes this pair of footwear a must have in your collection. The comfy to wear straps furthermore give you an ultimate ease to wear it all day long. Grab this pair and give your everyday ensembles a great augmentation.,,,,,Others
" its rich construction makes this pair of footwear a must have in your collection. The comfy to wear straps furthermore give you an ultimate ease to wear it all day long. Grab this pair and give your everyday ensembles a great augmentation.""",,,,,Others
Clincher Semonday Boots,3499.0,3499.0,,,Footwear
"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",799.0,200.0,,,Watches
Kielz Ladies Boots,2499.0,1149.0,,,Footwear
"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",585.0,526.0,,,Watches
Belle Gambe Boots,3499.0,1765.0,,,Footwear
"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",1925.0,1829.0,,,Watches
,,,,,Others
,,,,,Others
No rating available,,,,,Others
Roxy Boots,19995.0,9997.0,,,Footwear
Lee Men's Jeans,2699.0,1619.0,,,Clothing
Bruno Manetti 676 Boots,2999.0,1199.0,,,Footwear
"Estilo 1056 Analog Watch  - For Boys, Men",1299.0,299.0,,,Watches
Jack klein BlackLed Digital Watch  - For Boys,999.0,150.0,,,Watches
"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",235.0,150.0,,,Watches
Shuz Touch Boots,1499.0,1270.0,,,Footwear
Foot Candy Boots,2899.0,1699.0,,,Footwear
Credos Boots,4499.0,3499.0,,,Footwear
"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",999.0,149.0,,,Watches
"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",2499.0,1699.0,,,Watches
Kielz Ladies Boots,2799.0,1299.0,,,Footwear
"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",1395.0,350.0,,,Watches
Anand Archies Boots,499.0,499.0,,,Footwear
Magnum Footwear Lifestyle Boots,2999.0,1899.0,,,Footwear
,,,,,Others
,,,,,Others
No rating available,,,,,Others
Steppings Trendy Boots,2199.0,1099.0,,,Footwear
Swag 670038 Analog Watch  - For Boys,2499.0,899.0,,,Watches
Bonzer Boots,999.0,499.0,,,Footwear
,,,,,Others
,,,,,Others
,,,,,Others
Roadster Skinny Fit Fit Men's Jeans,2499.0,1249.0,,,Clothing
Selfie Black Denim Boots,1000.0,499.0,,,Footwear
Steppings Boots Boots,3199.0,2559.0,,,Footwear
,,,,,Others
,,,,,Others
No rating available,,,,,Others
"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",645.0,645.0,,,Watches
Belle Gambe Winter Boots,3499.0,1695.0,,,Footwear
"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",399.0,159.0,,,Watches
Kielz Ladies Boots,2499.0,1249.0,,,Footwear
Kielz Boots,2499.0,1999.0,,,Footwear
"Franck Bella FB74C Analog Watch  - For Boys, Men",1299.0,780.0,,,Watches
Carlton London Boots,2295.0,2295.0,,,Footwear
Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,349.0,249.0,,,Watches
Shuz Touch Boots,4495.0,4495.0,,,Footwear
La Briza Andria Boots,2099.0,2099.0,,,Footwear
"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",2345.0,1179.0,,,Watches
Kielz Ladies Boots,1899.0,999.0,,,Footwear
Carlton London Boots,1995.0,1995.0,,,Footwear
"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1799.0,1199.0,,,Watches
Urban Country Ladies Boots,3299.0,1650.0,,,Footwear
Now SP-ETHNIC Analog Watch  - For Boys,600.0,600.0,,,Watches
"Disney MSFR190-01B Analog Watch  - For Boys, Girls",1350.0,1350.0,,,Watches
Get Glamr Designer Yuvu Boots,3499.0,2799.0,,,Footwear
Kielz Boots,2499.0,2399.0,,,Footwear
